query_id,clip,ref_cx,ref_cy
q00121,25,0.447443,0.751136
q00122,25,0.567969,0.162847
q00123,25,0.829740,0.685069
q00124,25,0.421875,0.697619
q00125,25,0.350521,0.390972
q00126,25,0.325781,0.229167
q00127,25,0.421987,0.141815
q00128,25,0.423438,0.877083
q00129,25,0.774033,0.587302
q00130,25,0.435937,0.372917
q00131,25,0.662500,0.613542
q00132,25,0.220833,0.785069
q00133,25,0.843945,0.509635
q00134,25,0.667969,0.943750
q00135,25,0.721719,0.686042
q00136,25,0.422656,0.739583
q00137,25,0.330469,0.185937
q00138,25,0.465430,0.159115
q00139,26,0.148438,0.496875
q00140,26,0.046094,0.455729
q00141,26,0.350223,0.617262
q00142,26,0.879366,0.532904
q00143,26,0.313184,0.519661
q00144,26,0.495313,0.243750
q00145,26,0.273224,0.150473
q00146,26,0.569308,0.246280
q00147,26,0.800000,0.541026
q00148,26,0.332478,0.513393
q00149,26,0.459821,0.784970
q00150,26,0.350893,0.679316
q00151,26,0.698996,0.600446
q00152,26,0.546094,0.568750
q00153,26,0.424687,0.366042
q00154,26,0.175446,0.860863
q00155,26,0.451562,0.965625
q00156,26,0.071645,0.673468
q00157,26,0.347500,0.150833
q00158,27,0.158594,0.397917
q00159,27,0.054688,0.504167
q00160,27,0.497098,0.739286
q00161,27,0.538086,0.141146
q00162,27,0.979844,0.526250
q00163,27,0.131563,0.404861
q00164,27,0.653125,0.204167
q00165,27,0.408767,0.344560
q00166,27,0.800937,0.520417
q00167,27,0.332812,0.709028
q00168,27,0.472461,0.916667
q00169,27,0.783941,0.484144
q00170,27,0.695469,0.353333
q00171,27,0.235417,0.457292
q00172,27,0.622500,0.905208
q00173,27,0.109570,0.686198
q00174,27,0.545313,0.870833
q00175,27,0.416406,0.889583
q00176,27,0.787109,0.894792
q00177,27,0.815402,0.919048
q00178,27,0.078776,0.661892
q00179,27,0.292188,0.089583
q00180,28,0.238594,0.337500
q00181,28,0.567187,0.207292
q00182,28,0.975372,0.606002
q00183,28,0.076110,0.200329
q00184,28,0.292188,0.437500
q00185,28,0.799357,0.507230
q00186,28,0.287500,0.694792
q00187,28,0.902344,0.443750
q00188,28,0.861719,0.102083
q00189,28,0.142188,0.104167
q00190,28,0.619792,0.954861
q00191,28,0.038368,0.536343
q00192,28,0.420312,0.888542
q00193,28,0.106510,0.773958
q00194,28,0.338976,0.006134
q00195,28,0.681250,0.985417
q00196,29,0.212031,0.359167
q00197,29,0.064062,0.505903
q00198,29,0.568750,0.102500
q00199,29,0.899081,0.571324
q00200,29,0.142578,0.053385
q00201,29,0.169531,0.484375
q00202,29,0.827983,0.447633
q00203,29,0.333594,0.627083
q00204,29,0.966406,0.562708
q00205,29,0.638125,0.934583
q00206,29,0.462500,0.980208
q00207,29,0.852344,0.578125
q00208,29,0.161111,0.632176
q00209,29,0.132812,0.893750
q00210,29,0.830469,0.798958
q00211,29,0.882812,0.697569
q00212,29,0.207552,0.848611
q00213,29,0.192188,0.969792
q00214,29,0.047656,0.691004
q00215,30,0.371094,0.457812
q00216,30,0.051562,0.480208
q00217,30,0.552232,0.178571
q00218,30,0.966406,0.486979
q00219,30,0.163281,0.446875
q00220,30,0.807689,0.430373
q00221,30,0.244308,0.679167
q00222,30,0.598698,0.963889
q00223,30,0.388194,0.943171
q00224,30,0.780673,0.428261
q00225,30,0.176172,0.621094
q00226,30,0.963839,0.548363
q00227,30,0.153125,0.598958
q00228,30,0.147917,0.837847
q00229,30,0.935208,0.781944
q00230,30,0.583333,0.097569
q00231,30,0.061513,0.702906
q00232,31,0.370469,0.429583
q00233,31,0.061719,0.517187
q00234,31,0.568854,0.167153
q00235,31,0.971574,0.609856
q00236,31,0.170573,0.564792
q00237,31,0.803490,0.412083
q00238,31,0.570312,0.872917
q00239,31,0.643125,0.463958
q00240,31,0.176172,0.635417
q00241,31,0.198125,0.826458
q00242,31,0.605469,0.284375
q00243,31,0.067622,0.928935
q00244,31,0.395312,0.835417
q00245,31,0.317187,0.960417
q00246,31,0.409896,0.983681
q00247,31,0.978281,0.451250
q00248,31,0.029055,0.666617
q00249,31,0.107031,0.680492
q00250,32,0.389531,0.518750
q00251,32,0.063542,0.480208
q00252,32,0.521755,0.037740
q00253,32,0.878722,0.597059
q00254,32,0.220313,0.690625
q00255,32,0.822798,0.394886
q00256,32,0.714663,0.646875
q00257,32,0.162031,0.541667
q00258,32,0.266201,0.584375
q00259,32,0.385156,0.359375
q00260,32,0.105022,0.511756
q00261,32,0.581808,0.980208
q00262,32,0.381179,0.849905
q00263,32,0.926953,0.486979
q00264,32,0.773884,0.700744
q00265,32,0.949219,0.940909
q00266,32,0.048047,0.931771
q00267,32,0.094643,0.779018
q00268,33,0.554948,0.422917
q00269,33,0.095312,0.527083
q00270,33,0.522656,0.180208
q00271,33,0.900901,0.480769
q00272,33,0.228281,0.816458
q00273,33,0.839323,0.390741
q00274,33,0.585156,0.926042
q00275,33,0.886328,0.755382
q00276,33,0.075781,0.475000
q00277,33,0.135417,0.718634
q00278,33,0.258594,0.619792
q00279,33,0.222656,0.261458
q00280,33,0.427344,0.698958
q00281,33,0.824330,0.591071
q00282,33,0.703212,0.428588
q00283,33,0.721094,0.875000
q00284,33,0.044531,0.065625
q00285,33,0.200586,0.901563
q00286,33,0.047159,0.564962
q00287,33,0.410156,0.837500
q00288,33,0.100841,0.944391
q00289,33,0.144531,0.984375
q00290,34,0.798281,0.196667
q00291,34,0.146094,0.522917
q00292,34,0.939560,0.495265
q00293,34,0.245833,0.832292
q00294,34,0.875112,0.383036
q00295,34,0.586719,0.909635
q00296,34,0.862500,0.951042
q00297,34,0.333456,0.757782
q00298,34,0.092448,0.837847
q00299,34,0.449844,0.561875
q00300,34,0.810938,0.439583
q00301,34,0.712760,0.412847
q00302,34,0.963802,0.410995
q00303,34,0.558594,0.670833
q00304,34,0.224219,0.034535
q00305,34,0.573793,0.548390
q00306,34,0.225781,0.907083
q00307,34,0.035603,0.702530
q00308,34,0.576719,0.977083
q00309,34,0.065625,0.895833
q00310,35,0.181641,0.514063
q00311,35,0.520312,0.160417
q00312,35,0.886719,0.512500
q00313,35,0.196719,0.766458
q00314,35,0.899219,0.358333
q00315,35,0.617969,0.839236
q00316,35,0.439063,0.511458
q00317,35,0.481920,0.399554
q00318,35,0.845052,0.476042
q00319,35,0.734844,0.453542
q00320,35,0.734040,0.658184
q00321,35,0.375781,0.852083
q00322,35,0.231250,0.101042
q00323,35,0.807478,0.445982
q00324,35,0.228906,0.900000
q00325,35,0.581094,0.800208
q00326,35,0.588281,0.898958
q00327,35,0.093229,0.476736
q00328,35,0.171875,0.863393
q00329,35,0.042188,0.903750
q00330,35,0.016406,0.729167
q00331,35,0.019375,0.056042
q00332,72,0.217187,0.272917
q00333,72,0.508594,0.462500
q00334,73,0.233681,0.296991
q00335,73,0.496007,0.506713
q00336,74,0.202031,0.340000
q00337,74,0.498580,0.524432
q00338,74,0.993750,0.108750
q00339,75,0.185156,0.370833
q00340,75,0.493164,0.566667
q00341,75,0.941761,0.147822
q00342,76,0.221875,0.402083
q00343,76,0.529018,0.600893
q00344,76,0.893924,0.198843
q00345,77,0.201705,0.428220
q00346,77,0.211719,0.389583
q00347,77,0.526563,0.658333
q00348,77,0.845833,0.259722
q00349,78,0.184375,0.443750
q00350,78,0.546875,0.677083
q00351,78,0.788021,0.294097
q00352,79,0.202083,0.504630
q00353,79,0.601339,0.679911
q00354,79,0.715625,0.310417
q00355,79,0.509375,0.788021
q00356,80,0.209063,0.534271
q00357,80,0.626562,0.732292
q00358,80,0.649178,0.312829
q00359,80,0.498437,0.515104
q00360,80,0.015208,0.279861
q00361,82,0.228906,0.726042
q00362,82,0.532812,0.084722
q00363,82,0.739964,0.312019
q00364,82,0.925347,0.846065
q00365,83,0.273906,0.662292
q00366,83,0.763522,0.272436
q00367,83,0.944141,0.788021
q00368,84,0.316183,0.594097
q00369,84,0.772656,0.227083
q00370,85,0.325781,0.512847
q00371,85,0.783594,0.184722
q00372,85,0.268750,0.091667
q00373,86,0.352344,0.431495
q00374,86,0.817090,0.176563
q00375,87,0.416406,0.455000
q00376,87,0.535156,0.010417
q00377,88,0.455990,0.438889
q00378,88,0.180469,0.480128
q00379,88,0.804883,0.157813
q00380,88,0.635156,0.192083
q00381,89,0.492448,0.447917
q00382,89,0.789844,0.159375
q00383,89,0.701302,0.412500
q00384,90,0.175000,0.341667
q00385,90,0.164062,0.143750
q00386,90,0.466406,0.101042
q00387,90,0.527344,0.918750
q00388,90,0.024219,0.786458
q00389,90,0.096094,0.948958
q00390,90,0.660156,0.957292
q00391,90,0.983594,0.150000
q00392,90,0.960938,0.495833
q00393,91,0.120312,0.160417
q00394,91,0.527344,0.093958
q00395,91,0.537760,0.867361
q00396,91,0.101436,0.797681
q00397,91,0.630469,0.937153
q00398,91,0.098177,0.356944
q00399,91,0.822656,0.602083
q00400,91,0.090737,0.312436
q00401,92,0.067188,0.200000
q00402,92,0.558736,0.123769
q00403,92,0.516797,0.897917
q00404,92,0.145313,0.707292
q00405,92,0.618750,0.895833
q00406,92,0.091562,0.217500
q00407,92,0.530469,0.500000
q00408,92,0.650391,0.882812
q00409,93,0.019687,0.187917
q00410,93,0.567969,0.146875
q00411,93,0.514063,0.957292
q00412,93,0.217746,0.635764
q00413,93,0.615513,0.929613
q00414,93,0.168973,0.149702
q00415,93,0.245201,0.509226
q00416,93,0.581304,0.755927
q00417,94,0.552083,0.172222
q00418,94,0.497396,0.964931
q00419,94,0.297656,0.615030
q00420,94,0.600781,0.934375
q00421,94,0.167187,0.062500
q00422,94,0.962679,0.469887
q00423,94,0.495028,0.676193
q00424,95,0.566797,0.163672
q00425,95,0.449844,0.964479
q00426,95,0.425781,0.616042
q00427,95,0.529026,0.928446
q00428,95,0.958438,0.429375
q00429,95,0.385000,0.643542
q00430,96,0.561719,0.182292
q00431,96,0.534766,0.629687
q00432,96,0.492969,0.919792
q00433,96,0.273438,0.596542
q00434,96,0.128750,0.409792
q00435,96,0.879219,0.087292
q00436,97,0.556823,0.148125
q00437,97,0.630518,0.643294
q00438,97,0.178125,0.513542
q00439,97,0.119196,0.227083
q00440,97,0.821987,0.033780
q00441,97,0.957031,0.115104
q00442,98,0.589323,0.161458
q00443,98,0.727280,0.646662
q00444,98,0.474805,0.952344
q00445,98,0.111899,0.386298
q00446,98,0.683941,0.057986
q00447,98,0.772031,0.102083
q00448,98,0.096094,0.084375
q00449,98,0.662413,0.076852
q00450,98,0.109304,0.969318
q00451,99,0.624609,0.223958
q00452,99,0.840216,0.639435
q00453,99,0.499790,0.930716
q00454,99,0.033203,0.228906
q00455,99,0.589844,0.064583
q00456,99,0.147656,0.190625
q00457,99,0.692448,0.362500
q00458,99,0.118750,0.881250
q00459,99,0.076953,0.975000
q00460,100,0.621540,0.267411
q00461,100,0.939258,0.647917
q00462,100,0.962069,0.351832
q00463,100,0.088672,0.477604
q00464,100,0.715625,0.590625
q00465,100,0.525781,0.984375
q00466,100,0.159014,0.801442
q00467,100,0.129688,0.933333
q00468,101,0.653043,0.298026
q00469,101,0.952188,0.298125
q00470,101,0.917625,0.736264
q00471,101,0.141832,0.782860
q00472,101,0.737612,0.871280
q00473,101,0.504687,0.932292
q00474,101,0.185391,0.699583
q00475,101,0.160691,0.896053
q00476,101,0.877138,0.823246
q00477,101,0.227344,0.118750
q00478,102,0.646326,0.346284
q00479,102,0.955544,0.243515
q00480,102,0.288976,0.967245
q00481,102,0.236496,0.588244
q00482,102,0.207986,0.969213
q00483,102,0.757589,0.750050
q00484,102,0.051022,0.245192
q00485,103,0.173156,0.541583
q00486,103,0.629687,0.700401
q00487,104,0.689821,0.417381
q00488,104,0.127922,0.489545
q00489,104,0.488229,0.741806
q00490,104,0.289708,0.820199
q00491,104,0.269141,0.936979
q00492,104,0.988281,0.909028
q00493,105,0.702576,0.484291
q00494,105,0.074063,0.403750
q00495,105,0.445312,0.894792
q00496,105,0.143555,0.710156
q00497,105,0.309570,0.871615
q00498,105,0.043264,0.903773
q00499,105,0.432813,0.856771
q00500,105,0.983281,0.757292
q00501,105,0.991406,0.488542
q00502,106,0.734375,0.531250
q00503,106,0.057813,0.283333
q00504,106,0.447691,0.904259
q00505,106,0.381510,0.855556
q00506,106,0.687305,0.704687
q00507,107,0.741036,0.589145
q00508,107,0.029531,0.152917
q00509,107,0.383594,0.808333
q00510,107,0.786198,0.565394
q00511,107,0.928125,0.537500
q00512,271,0.210156,0.426736
q00513,271,0.258817,0.766964
q00514,271,0.636161,0.190625
q00515,272,0.296289,0.287240
q00516,272,0.369141,0.857813
q00517,272,0.536719,0.273438
q00518,272,0.046484,0.716406
q00519,272,0.737891,0.026042
q00520,272,0.978906,0.404315
q00521,273,0.407031,0.172917
q00522,273,0.447656,0.873958
q00523,273,0.448438,0.326042
q00524,273,0.064062,0.576042
q00525,274,0.533594,0.121701
q00526,274,0.397005,0.184549
q00527,274,0.159115,0.673437
q00528,274,0.746354,0.142535
q00529,275,0.681911,0.141346
q00530,275,0.485216,0.063221
q00531,275,0.074038,0.730369
q00532,275,0.653125,0.296354
q00533,275,0.600421,0.965945
q00534,276,0.661399,0.332718
q00535,276,0.616193,0.087121
q00536,276,0.656818,0.409849
q00537,276,0.569602,0.879451
q00538,276,0.921662,0.050568
q00539,276,0.290199,0.033854
q00540,277,0.652083,0.492940
q00541,277,0.544792,0.222569
q00542,277,0.662153,0.309491
q00543,277,0.582031,0.780903
q00544,277,0.292014,0.061458
q00545,278,0.624159,0.668990
q00546,278,0.485216,0.098958
q00547,278,0.723918,0.122276
q00548,278,0.599156,0.678375
q00549,278,0.322716,0.100721
q00550,279,0.383929,0.057887
q00551,279,0.180357,0.874107
q00552,279,0.974006,0.719602
q00553,279,0.346875,0.550595
q00554,280,0.367500,0.792500
q00555,280,0.290312,0.617917
q00556,281,0.555035,0.731713
q00557,281,0.236285,0.696528
q00558,281,0.587500,0.028125
q00559,282,0.740625,0.804861
q00560,282,0.201562,0.704167
q00561,282,0.520833,0.153819
q00562,282,0.979948,0.807292
q00563,283,0.924006,0.793939
q00564,283,0.201989,0.566667
q00565,283,0.443892,0.351705
q00566,283,0.963565,0.835133
q00567,284,0.189453,0.452604
q00568,284,0.506250,0.201302
q00569,285,0.139062,0.362879
q00570,285,0.624574,0.101705
q00571,286,0.230957,0.343490
q00572,286,0.464160,0.197266
q00573,287,0.309896,0.401736
q00574,287,0.606250,0.225000
q00575,288,0.398438,0.500000
q00576,289,0.467552,0.661875
q00577,289,0.035031,0.843583
q00578,290,0.455859,0.651042
q00579,290,0.102790,0.938988
q00580,291,0.416608,0.623690
q00581,291,0.185379,0.901339
q00582,292,0.410400,0.535937
q00583,292,0.252344,0.821354
q00584,294,0.178635,0.707334
q00585,294,0.627987,0.746936
q00586,294,0.833778,0.955944
q00587,294,0.612165,0.844345
q00588,295,0.223864,0.676168
q00589,295,0.705066,0.721338
q00590,295,0.879285,0.910827
q00591,295,0.535781,0.908750
q00592,296,0.269252,0.625521
q00593,296,0.780525,0.713579
q00594,296,0.943443,0.805283
q00595,296,0.924833,0.869420
q00596,296,0.678646,0.983333
q00597,296,0.445242,0.931723
q00598,297,0.308652,0.560301
q00599,297,0.859505,0.734279
q00600,297,0.932386,0.881818
q00601,297,0.950608,0.822917
q00602,297,0.771094,0.933333
q00603,297,0.728125,0.939583
q00604,297,0.370313,0.881510
q00605,298,0.955566,0.748047
q00606,298,0.916304,0.901132
q00607,298,0.984961,0.773958
q00608,298,0.896829,0.874694
q00609,298,0.722852,0.817708
q00610,298,0.320028,0.839394
q00611,299,0.365234,0.421354
q00612,299,0.880382,0.946065
q00613,299,0.716245,0.717601
q00614,299,0.302158,0.756647
q00615,300,0.366927,0.335069
q00616,300,0.693359,0.591898
q00617,300,0.290128,0.690436
q00618,300,0.163542,0.028819
q00619,301,0.369010,0.270486
q00620,301,0.855409,0.911779
q00621,301,0.648958,0.460301
q00622,301,0.987388,0.880804
q00623,301,0.917329,0.110985
q00624,301,0.336719,0.624653
q00625,301,0.096406,0.079375
q00626,303,0.552344,0.213802
q00627,303,0.694727,0.432813
q00628,304,0.523351,0.361574
q00629,304,0.774148,0.347917
q00630,305,0.497461,0.497917
q00631,305,0.269141,0.558333
q00632,305,0.873047,0.336979
q00633,305,0.066051,0.063258
q00634,305,0.614812,0.020333
q00635,306,0.413281,0.020833
q00636,306,0.961719,0.515625
q00637,306,0.031250,0.785417
q00638,307,0.101562,0.171875
q00639,307,0.251778,0.094456
q00640,307,0.242622,0.139699
q00641,307,0.059375,0.475000
q00642,307,0.918474,0.372672
q00643,307,0.725000,0.314583
q00644,307,0.818750,0.648958
q00645,307,0.037500,0.077083
q00646,307,0.157813,0.947917
q00647,308,0.252206,0.108640
q00648,308,0.790234,0.348958
q00649,308,0.671484,0.704167
q00650,308,0.098047,0.176042
q00651,308,0.134375,0.828472
q00652,309,0.859375,0.396991
q00653,309,0.549479,0.826273
q00654,309,0.155469,0.306250
q00655,309,0.116146,0.691435
q00656,309,0.036719,0.215856
q00657,309,0.982422,0.758333
q00658,310,0.958534,0.401122
q00659,310,0.214363,0.335417
q00660,310,0.068269,0.541667
q00661,310,0.117127,0.261619
q00662,310,0.841707,0.816987
q00663,310,0.514603,0.878365
q00664,311,0.305260,0.340556
q00665,311,0.221094,0.265327
q00666,311,0.678348,0.805952
q00667,311,0.359487,0.826786
q00668,311,0.449115,0.156042
q00669,312,0.292472,0.117330
q00670,312,0.262240,0.445833
q00671,312,0.265781,0.160625
q00672,312,0.513594,0.869583
q00673,312,0.252031,0.728333
q00674,312,0.348816,0.294926
q00675,313,0.313400,0.136269
q00676,313,0.282924,0.574107
q00677,313,0.315290,0.047470
q00678,313,0.101451,0.733929
q00679,313,0.286496,0.454613
q00680,314,0.092535,0.149884
q00681,314,0.328629,0.129603
q00682,314,0.100586,0.799349
q00683,314,0.274219,0.673148
q00684,314,0.236979,0.360185
q00685,314,0.260773,0.969463
q00686,314,0.624566,0.954051
q00687,314,0.943963,0.350379
q00688,315,0.058333,0.170949
q00689,315,0.173351,0.621296
q00690,315,0.289410,0.244907
q00691,315,0.287587,0.958449
q00692,315,0.648351,0.813079
q00693,315,0.810243,0.385069
q00694,316,0.030168,0.190465
q00695,316,0.366850,0.149840
q00696,316,0.140805,0.639263
q00697,316,0.409062,0.149583
q00698,316,0.691046,0.663381
q00699,316,0.681250,0.427292
q00700,316,0.973594,0.898333
q00701,316,0.884219,0.855000
q00702,317,0.356829,0.108989
q00703,317,0.054427,0.679861
q00704,317,0.500313,0.167153
q00705,317,0.358073,0.945676
q00706,317,0.702344,0.512847
q00707,317,0.574716,0.507229
q00708,317,0.737240,0.803333
q00709,317,0.041859,0.024287
q00710,318,0.127303,0.425658
q00711,318,0.117969,0.161458
q00712,318,0.084375,0.459375
q00713,318,0.460156,0.772917
q00714,319,0.128214,0.464286
q00715,319,0.044978,0.062054
q00716,319,0.098326,0.304464
q00717,320,0.103125,0.510795
q00718,320,0.031250,0.217424
q00719,320,0.272031,0.965000
q00720,321,0.099330,0.544941
q00721,321,0.416406,0.920833
q00722,322,0.091602,0.573698
q00723,322,0.538802,0.778472
q00724,323,0.080393,0.617843
q00725,323,0.657254,0.586905
q00726,323,0.833929,0.959375
q00727,342,0.789062,0.673958
q00728,342,0.518750,0.183333
q00729,342,0.805469,0.378125
q00730,342,0.678906,0.650000
q00731,342,0.789844,0.802083
q00732,343,0.773166,0.725136
q00733,343,0.713672,0.238021
q00734,343,0.737277,0.292411
q00735,343,0.687500,0.654167
q00736,343,0.176172,0.049306
q00737,344,0.856250,0.327917
q00738,344,0.722554,0.148641
q00739,344,0.766667,0.579167
q00740,344,0.802969,0.869583
q00741,344,0.615685,0.907933
q00742,344,0.214280,0.186343
q00743,345,0.745436,0.787664
q00744,345,0.948047,0.514236
q00745,345,0.804911,0.544792
q00746,345,0.839844,0.971280
q00747,345,0.686589,0.829514
q00748,345,0.257031,0.309375
q00749,346,0.943612,0.452267
q00750,346,0.897210,0.514583
q00751,346,0.756094,0.754083
q00752,346,0.310156,0.417708
q00753,347,0.803447,0.309743
q00754,347,0.782617,0.522656
q00755,347,0.834588,0.656913
q00756,347,0.379957,0.497936
q00757,348,0.668164,0.171094
q00758,348,0.730000,0.397500
q00759,348,0.912370,0.573438
q00760,348,0.436293,0.611837
q00761,349,0.684616,0.913977
q00762,349,0.688281,0.283750
q00763,349,0.481406,0.708333
q00764,350,0.639063,0.111458
q00765,350,0.535102,0.803412
q00766,351,0.351207,0.445265
q00767,351,0.694245,0.095503
q00768,351,0.865755,0.437674
q00769,351,0.872522,0.566164
q00770,351,0.539062,0.555529
q00771,351,0.542480,0.584049
q00772,351,0.010704,0.222204
q00773,352,0.240980,0.544886
q00774,352,0.751705,0.235701
q00775,352,0.803688,0.614438
q00776,352,0.844531,0.552841
q00777,352,0.901406,0.657292
q00778,352,0.501004,0.610863
q00779,352,0.462500,0.684485
q00780,352,0.058340,0.160239
q00781,353,0.283371,0.571429
q00782,353,0.383371,0.430506
q00783,353,0.822344,0.363125
q00784,353,0.772344,0.783750
q00785,353,0.917188,0.612047
q00786,353,0.608073,0.424653
q00787,353,0.696205,0.831101
q00788,354,0.904340,0.484144
q00789,354,0.765430,0.624479
q00790,354,0.714803,0.825932
q00791,355,0.340513,0.544048
q00792,355,0.406473,0.423363
q00793,355,0.840067,0.515179
q00794,355,0.714183,0.776202
q00795,356,0.374050,0.534065
q00796,356,0.407176,0.421798
q00797,356,0.967656,0.348958
q00798,357,0.692390,0.794792
q00799,357,0.920781,0.406250
q00800,358,0.824219,0.539583
q00801,358,0.682813,0.766893
q00802,358,0.765527,0.332422
q00803,358,0.429688,0.105208
q00804,359,0.642969,0.778125
q00805,359,0.513839,0.705208
q00806,359,0.832715,0.269010
q00807,359,0.479688,0.200000
